Time	Object	Vector	Value
0.0	car[0].cellularNic.nrPhy	servingCell 	1.000000
0.1	car[0].cellularNic.nrPhy	servingCell 	1.000000
0.2	car[0].cellularNic.nrPhy	servingCell 	1.000000
0.3	car[0].cellularNic.nrPhy	servingCell 	1.000000
0.4	car[0].cellularNic.nrPhy	servingCell 	1.000000
0.5	car[0].cellularNic.nrPhy	servingCell 	1.000000
0.6	car[0].cellularNic.nrPhy	servingCell 	1.000000
0.7	car[0].cellularNic.nrPhy	servingCell 	1.000000
0.8	car[0].cellularNic.nrPhy	servingCell 	1.000000
0.9	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.0	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.1	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.2	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.3	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.4	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.5	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.6	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.7	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.8	car[0].cellularNic.nrPhy	servingCell 	1.000000
1.9	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.0	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.1	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.2	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.3	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.4	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.5	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.6	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.7	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.8	car[0].cellularNic.nrPhy	servingCell 	1.000000
2.9	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.0	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.1	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.2	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.3	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.4	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.5	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.6	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.7	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.8	car[0].cellularNic.nrPhy	servingCell 	1.000000
3.9	car[0].cellularNic.nrPhy	servingCell 	1.000000
4.0	car[0].cellularNic.nrPhy	servingCell 	2.000000
4.1	car[0].cellularNic.nrPhy	servingCell 	2.000000
4.2	car[0].cellularNic.nrPhy	servingCell 	2.000000
4.3	car[0].cellularNic.nrPhy	servingCell 	2.000000
4.4	car[0].cellularNic.nrPhy	servingCell 	2.000000
4.5	car[0].cellularNic.nrPhy	servingCell 	2.000000
4.6	car[0].cellularNic.nrPhy	servingCell 	2.000000
4.7	car[0].cellularNic.nrPhy	servingCell 	2.000000
4.8	car[0].cellularNic.nrPhy	servingCell 	2.000000
4.9	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.0	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.1	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.2	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.3	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.4	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.5	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.6	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.7	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.8	car[0].cellularNic.nrPhy	servingCell 	2.000000
5.9	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.0	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.1	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.2	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.3	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.4	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.5	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.6	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.7	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.8	car[0].cellularNic.nrPhy	servingCell 	2.000000
6.9	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.0	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.1	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.2	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.3	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.4	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.5	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.6	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.7	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.8	car[0].cellularNic.nrPhy	servingCell 	2.000000
7.9	car[0].cellularNic.nrPhy	servingCell 	2.000000
8.0	car[0].cellularNic.nrPhy	servingCell 	2.000000
0.0	car[0].cellularNic.nrPhy	distance 	100.000000
0.1	car[0].cellularNic.nrPhy	distance 	100.200000
0.2	car[0].cellularNic.nrPhy	distance 	100.400000
0.3	car[0].cellularNic.nrPhy	distance 	100.600000
0.4	car[0].cellularNic.nrPhy	distance 	100.800000
0.5	car[0].cellularNic.nrPhy	distance 	101.000000
0.6	car[0].cellularNic.nrPhy	distance 	101.200000
0.7	car[0].cellularNic.nrPhy	distance 	101.400000
0.8	car[0].cellularNic.nrPhy	distance 	101.600000
0.9	car[0].cellularNic.nrPhy	distance 	101.800000
1.0	car[0].cellularNic.nrPhy	distance 	102.000000
1.1	car[0].cellularNic.nrPhy	distance 	102.200000
1.2	car[0].cellularNic.nrPhy	distance 	102.400000
1.3	car[0].cellularNic.nrPhy	distance 	102.600000
1.4	car[0].cellularNic.nrPhy	distance 	102.800000
1.5	car[0].cellularNic.nrPhy	distance 	103.000000
1.6	car[0].cellularNic.nrPhy	distance 	103.200000
1.7	car[0].cellularNic.nrPhy	distance 	103.400000
1.8	car[0].cellularNic.nrPhy	distance 	103.600000
1.9	car[0].cellularNic.nrPhy	distance 	103.800000
2.0	car[0].cellularNic.nrPhy	distance 	104.000000
2.1	car[0].cellularNic.nrPhy	distance 	104.200000
2.2	car[0].cellularNic.nrPhy	distance 	104.400000
2.3	car[0].cellularNic.nrPhy	distance 	104.600000
2.4	car[0].cellularNic.nrPhy	distance 	104.800000
2.5	car[0].cellularNic.nrPhy	distance 	105.000000
2.6	car[0].cellularNic.nrPhy	distance 	105.200000
2.7	car[0].cellularNic.nrPhy	distance 	105.400000
2.8	car[0].cellularNic.nrPhy	distance 	105.600000
2.9	car[0].cellularNic.nrPhy	distance 	105.800000
3.0	car[0].cellularNic.nrPhy	distance 	106.000000
3.1	car[0].cellularNic.nrPhy	distance 	106.200000
3.2	car[0].cellularNic.nrPhy	distance 	106.400000
3.3	car[0].cellularNic.nrPhy	distance 	106.600000
3.4	car[0].cellularNic.nrPhy	distance 	106.800000
3.5	car[0].cellularNic.nrPhy	distance 	107.000000
3.6	car[0].cellularNic.nrPhy	distance 	107.200000
3.7	car[0].cellularNic.nrPhy	distance 	107.400000
3.8	car[0].cellularNic.nrPhy	distance 	107.600000
3.9	car[0].cellularNic.nrPhy	distance 	107.800000
4.0	car[0].cellularNic.nrPhy	distance 	108.000000
4.1	car[0].cellularNic.nrPhy	distance 	108.200000
4.2	car[0].cellularNic.nrPhy	distance 	108.400000
4.3	car[0].cellularNic.nrPhy	distance 	108.600000
4.4	car[0].cellularNic.nrPhy	distance 	108.800000
4.5	car[0].cellularNic.nrPhy	distance 	109.000000
4.6	car[0].cellularNic.nrPhy	distance 	109.200000
4.7	car[0].cellularNic.nrPhy	distance 	109.400000
4.8	car[0].cellularNic.nrPhy	distance 	109.600000
4.9	car[0].cellularNic.nrPhy	distance 	109.800000
5.0	car[0].cellularNic.nrPhy	distance 	110.000000
5.1	car[0].cellularNic.nrPhy	distance 	110.200000
5.2	car[0].cellularNic.nrPhy	distance 	110.400000
5.3	car[0].cellularNic.nrPhy	distance 	110.600000
5.4	car[0].cellularNic.nrPhy	distance 	110.800000
5.5	car[0].cellularNic.nrPhy	distance 	111.000000
5.6	car[0].cellularNic.nrPhy	distance 	111.200000
5.7	car[0].cellularNic.nrPhy	distance 	111.400000
5.8	car[0].cellularNic.nrPhy	distance 	111.600000
5.9	car[0].cellularNic.nrPhy	distance 	111.800000
6.0	car[0].cellularNic.nrPhy	distance 	112.000000
6.1	car[0].cellularNic.nrPhy	distance 	112.200000
6.2	car[0].cellularNic.nrPhy	distance 	112.400000
6.3	car[0].cellularNic.nrPhy	distance 	112.600000
6.4	car[0].cellularNic.nrPhy	distance 	112.800000
6.5	car[0].cellularNic.nrPhy	distance 	113.000000
6.6	car[0].cellularNic.nrPhy	distance 	113.200000
6.7	car[0].cellularNic.nrPhy	distance 	113.400000
6.8	car[0].cellularNic.nrPhy	distance 	113.600000
6.9	car[0].cellularNic.nrPhy	distance 	113.800000
7.0	car[0].cellularNic.nrPhy	distance 	114.000000
7.1	car[0].cellularNic.nrPhy	distance 	114.200000
7.2	car[0].cellularNic.nrPhy	distance 	114.400000
7.3	car[0].cellularNic.nrPhy	distance 	114.600000
7.4	car[0].cellularNic.nrPhy	distance 	114.800000
7.5	car[0].cellularNic.nrPhy	distance 	115.000000
7.6	car[0].cellularNic.nrPhy	distance 	115.200000
7.7	car[0].cellularNic.nrPhy	distance 	115.400000
7.8	car[0].cellularNic.nrPhy	distance 	115.600000
7.9	car[0].cellularNic.nrPhy	distance 	115.800000
8.0	car[0].cellularNic.nrPhy	distance 	116.000000
0.0	car[0].cellularNic.nrPhy	averageCqiDl 	10.000000
0.1	car[0].cellularNic.nrPhy	averageCqiDl 	10.000000
0.2	car[0].cellularNic.nrPhy	averageCqiDl 	10.000000
